ITEM_20150317_000001	空_头盔 
ITEM_20150317_000002	姆尔米洛头盔 
ITEM_20150317_000003	空_护腕 
ITEM_20150317_000004	红护腕 
ITEM_20150317_000005	护腕 
ITEM_20150317_000006	打结的护腕 
ITEM_20150317_000007	长护腕 
ITEM_20150317_000008	羽毛护腕 
ITEM_20150317_000009	缨旒护腕 
ITEM_20150317_000010	空_武器 
ITEM_20150317_000011	粗糙的短剑 
ITEM_20150317_000012	单手剑[斩击] 
ITEM_20150317_000013	一种帝国士兵普遍携带和使用的武器. 
ITEM_20150317_000014	短剑 
ITEM_20150317_000015	这种制作出的武器比军用版更有改进空间. 
ITEM_20150317_000016	矮刀 
ITEM_20150317_000017	这是一把异常锋利的刀. 
ITEM_20150317_000018	低等卡斯卡拉(Kaskara) 
ITEM_20150317_000019	由于制造简易，这把剑经常是冒险者替代训练用剑的第一选择. 
ITEM_20150317_000020	五指剑 
ITEM_20150317_000021	推荐给那些渴望使用更重更强剑的人. 
ITEM_20150317_000022	马刀 
ITEM_20150317_000023	为骑兵削砍作优化的主要武器.剑柄上的防护帮助保护使用者的手. 
ITEM_20150317_000024	弯刀 
ITEM_20150317_000025	大弯新月边儿允许强力的削砍. 
ITEM_20150317_000026	半月弯刀 
ITEM_20150317_000027	刀的重量是削砍的强力补偿. 
ITEM_20150317_000028	马来短剑 
ITEM_20150317_000029	扭曲的边缘放大了刀伤.是一把即实用又美观的刀. 
ITEM_20150317_000030	斯内科斯短刀 
ITEM_20150317_000031	异常锋利的她使她即使在经验最丰富的剑士间也是最受欢迎的刀. 
ITEM_20150317_000032	粗糙的弯刀 
ITEM_20150317_000033	粗糙的半月弯刀 
ITEM_20150317_000034	士兵短剑 
ITEM_20150317_000035	全制式士兵基本配置，整体质量比市面上的优异. 
ITEM_20150317_000036	市长的刀 
ITEM_20150317_000037	看了这武器，就引起了对过去主人的怀疑. 
ITEM_20150317_000038	粗糙的卡斯卡拉 
ITEM_20150317_000039	Moplah 
ITEM_20150317_000040	结合实用性和美学的刀. 
ITEM_20150317_000041	沉重的短刀 
ITEM_20150317_000042	剑 
ITEM_20150317_000043	重剑 
ITEM_20150317_000044	卡斯卡拉(Kaskara) 
ITEM_20150317_000045	重型五指剑 
ITEM_20150317_000046	重型马刀 
ITEM_20150317_000047	重型半月弯刀 
ITEM_20150317_000048	笨重的佩剑 
ITEM_20150317_000049	笨重的短刀 
ITEM_20150317_000050	笨重的弯刀 
ITEM_20150317_000051	笨重的卡斯卡拉(Kaskara) 
ITEM_20150317_000052	笨重的五指剑 
ITEM_20150317_000053	笨重的半月弯刀 
ITEM_20150317_000054	小冢 
ITEM_20150317_000055	No tooltip available. 
ITEM_20150317_000056	阔刃弯刀 
ITEM_20150317_000057	赛义夫Saif 
ITEM_20150317_000058	细身剑 
ITEM_20150317_000059	Firangi 
ITEM_20150317_000060	刺刀 
ITEM_20150317_000061	Demion Sword 
ITEM_20150317_000062	主宰之剑 
ITEM_20150317_000063	Panto Sword 
ITEM_20150317_000064	A crude sword used by the Panto. You could craft a superior version yourself. 
ITEM_20150317_000065	弗洛纳斯佩剑(Flonas) 
ITEM_20150317_000066	有人说这把剑释放了植物对动物的怨气. 
ITEM_20150317_000067	黄金弯刀 
ITEM_20150317_000068	可能由于黄金与财富密不可分，黄金弯刀赐予持剑者搏斗中好运，并给敌人重创. 
ITEM_20150317_000069	钢剑 
ITEM_20150317_000070	钢剑是那些追求精艺剑术的不错选择. 
ITEM_20150317_000071	银剑 
ITEM_20150317_000072	轻便并坚固的银剑让你在战斗中发挥潜能. 
ITEM_20150317_000073	曼陀罗剑(Mandrapick） 
ITEM_20150317_000074	这把剑用曼陀罗精华净化心灵. 
ITEM_20150317_000075	巫师之刃 
ITEM_20150317_000076	永远不要小看持剑的巫师，尤其是那把剑是巫师之刃. 
ITEM_20150317_000077	凯米尼斯之剑(Cheminis) 
ITEM_20150317_000078	这把剑是按照一位来自Winterspoon家族的炼金术师发明的图纸制作的，他声称他能做出比铁匠更好的剑. 
ITEM_20150317_000079	奥斯塔斯之剑(Austas) 
ITEM_20150317_000080	这把剑价格不菲.然而，对于长久使用商家更期望你购买别的武器. 
ITEM_20150317_000081	密斯卡斯佩剑(Miskas) 
ITEM_20150317_000082	这把剑会让你的剑术更快. 
ITEM_20150317_000083	统御之剑(Imperni) 
ITEM_20150317_000084	不难找到一位经验丰富的老兵讲述那段第一次举起此剑的激动心情. 
ITEM_20150317_000085	Gritas 
ITEM_20150317_000086	A sword used by valiant adventurers. Ironically, it is often found on strong monsters. A person who obtains this sword is unknowingly exacting revenge for its previous owner. 
ITEM_20150317_000087	罗马剑 
ITEM_20150317_000088	一个加长剑长度的改进型短剑. 
ITEM_20150317_000089	Aras' Falchion 
ITEM_20150317_000090	This weapon gives you the opportunity to experience the quality of the Falchion. 
ITEM_20150317_000091	铁匠之剑(Smith) 
ITEM_20150317_000092	2%几率造成额外的600%伤害. 
ITEM_20150317_000093	这把剑偶尔闪耀着创造者的工艺. 
ITEM_20150317_000094	Klavis Sword 
ITEM_20150317_000095	抛开她的质量,她卖得相当好. 
ITEM_20150317_000096	Dio Sword 
ITEM_20150317_000097	Thresh Sword 
ITEM_20150317_000098	Sestas Sword 
ITEM_20150317_000099	Drat Sword 
ITEM_20150317_000100	Aston Sword 
ITEM_20150317_000101	Devi Sword 
ITEM_20150317_000102	Prima Sword 
ITEM_20150317_000103	三体剑(Trinity) 
ITEM_20150317_000104	如果你不满意你的剑，这把剑是一种选择。然后你必须忍受她昂贵的价格. 
ITEM_20150317_000105	杜兰达尔(Durandal) 
ITEM_20150317_000106	许多冒险者将这个名字刻在他们的爱剑上.这个名字是被女神选中的远古战士使用剑的名字. 
ITEM_20150317_000107	维尔涅普(Velniup) 
ITEM_20150317_000108	人们会说这种武器过于残忍. 
ITEM_20150317_000109	福尔蒂斯(Fortis) 
ITEM_20150317_000110	相对于巨型植物灾变时的低迷，复苏的强筋装甲怪物证明了这把刀的价值. 
ITEM_20150317_000111	斩灵刀(Chapparition C) 
ITEM_20150317_000112	根据原理,这把刀用来对恶魔的战斗. 
ITEM_20150317_000113	死亡编织之刃 
ITEM_20150317_000114	挥舞此剑，即为死神. 
ITEM_20150317_000115	斩灵剑(Chapparition S) 
ITEM_20150317_000116	这把剑印证了恶魔的内斗. 
ITEM_20150317_000117	班德拉斯之剑(Bendras) 
ITEM_20150317_000118	女神为铲除邪恶赐予这把剑一丝力量和祝福. 
ITEM_20150317_000119	伊莉西娅(Illizia) 
ITEM_20150317_000120	大多数剑客忽略了这把剑对生命和财产的严重威胁. 
ITEM_20150317_000121	将删除 
ITEM_20150317_000122	双手剑[斩击] 
ITEM_20150317_000123	笨重的变种剑 
ITEM_20150317_000124	部分大师工匠和剑客为证明自己称之为"混合式双手剑". 
ITEM_20150317_000125	双手饰剑 
ITEM_20150317_000126	在专家手里,波状剑刃会造成巨大杀伤. 
ITEM_20150317_000127	野太刀 
ITEM_20150317_000128	恰到好处的野太刀控制住了进攻距离并放大了斩击的威力. 
ITEM_20150317_000129	双刃阔剑 
ITEM_20150317_000130	帝国的阔剑强调力量和重量. 
ITEM_20150317_000131	巨剑 
ITEM_20150317_000132	特定的刀刃形状适应多种剑术而且砍杀威力巨大. 
ITEM_20150317_000133	石中剑 
ITEM_20150317_000134	通常由高阶战士携带. 
ITEM_20150317_000135	夸达剌(Quaddara) 
ITEM_20150317_000136	与她的外表相反,追求实用性的剑客经常使用这把双刃剑. 
ITEM_20150317_000137	轻型重剑 
ITEM_20150317_000138	剑型允许劈斩. 
ITEM_20150317_000139	粗糙巨剑 
ITEM_20150317_000140	Eillun 
ITEM_20150317_000141	伟大的Ruklyss最初就是用的这把剑. 
ITEM_20150317_000142	实用变种剑 
ITEM_20150317_000143	变种剑 
ITEM_20150317_000144	重型双手饰剑 
ITEM_20150317_000145	重型野太刀 
ITEM_20150317_000146	重型双刃阔剑 
ITEM_20150317_000147	笨重的野太刀 
ITEM_20150317_000148	笨重的夸达剌(Quaddara) 
ITEM_20150317_000149	笨重德尔双手饰剑 
ITEM_20150317_000150	笨重的双手阔剑 
ITEM_20150317_000151	大剑 
ITEM_20150317_000152	德式斗剑 
ITEM_20150317_000153	礼服剑 
ITEM_20150317_000154	德式双手剑 
ITEM_20150317_000155	斩首剑 
ITEM_20150317_000156	鲁麦双手剑 
ITEM_20150317_000157	刮刀 
ITEM_20150317_000158	Potentia 
ITEM_20150317_000159	吸取了双手饰剑的优势. 
ITEM_20150317_000160	Temsus Flamberge 
ITEM_20150317_000161	A sword with great capacity for improvement that compliments your innate power. Try its potential for yourself. 
ITEM_20150317_000162	迪德尔巨剑(Didel) 
ITEM_20150317_000163	推荐给渴望更重,更有威力,更好砍杀的剑客. 
ITEM_20150317_000164	藏品剑 
