QUEST_LV_0200_20150317_000001	Philip's soldiers
QUEST_LV_0200_20150317_000002	The monsters' attacks are becoming more violent. {nl} I'm determined to succeed but I also fear for our safety.
QUEST_LV_0200_20150317_000003	It doesn't matter whether I give up my life today or become a dead man tomorrow.
QUEST_LV_0200_20150317_000004	Commander Vacenin
QUEST_LV_0200_20150317_000005	Somehow, we need to resolve our poor supplies and forces. {nl} However, we must acquire this point in order to break through the forest.
QUEST_LV_0200_20150317_000006	Even though everyone's getting tired, I can't give up until Kateen Forest is fully retrieved.
QUEST_LV_0200_20150317_000007	Senior Officer Philip
QUEST_LV_0200_20150317_000008	I wish for a peaceful world. {nl} In order for it to happen, I need to work harder.
QUEST_LV_0200_20150317_000009	I will do anything to regain this forest from the monsters. {nl} It's worth risking my life for.
QUEST_LV_0200_20150317_000010	Our forward unit is composed exclusively of Philip's monks. {nl} They'll follow Philip's commands through anything.
QUEST_LV_0200_20150317_000011	Live with the idea that each moment could always become your last. {nl} We must learn from past events and use it to our advantage.
QUEST_LV_0200_20150317_000012	Officer Felix
QUEST_LV_0200_20150317_000013	The Entrance of Kateen Forest is rather on the safe side, but please refrain from going any deeper than this.
QUEST_LV_0200_20150317_000014	Weak Owl Statue
QUEST_LV_0200_20150317_000015	My power is slowly weakening. {nl} Even though there are many souls that need guidance..
QUEST_LV_0200_20150317_000016	Scared Owl Statue
QUEST_LV_0200_20150317_000017	The sacred power of the forest is weakening. {nl} What will happen to us from now on?!
QUEST_LV_0200_20150317_000018	It's too scary. {nl} This never happened when the Goddess was still around..
QUEST_LV_0200_20150317_000019	Sincere Captain Owl
QUEST_LV_0200_20150317_000020	This forest is cursed... It consumed the owl. {nl} I have only one thing to compel.
QUEST_LV_0200_20150317_000021	Since a huge tree suddenly arised, this forest has changed horribly. {nl} Even the trees' roots frighten whoever stares at them.
QUEST_LV_0200_20150317_000022	Devoted Owl Statue
QUEST_LV_0200_20150317_000023	Also someone called Mokuhyoto was held captive. {nl} I have a feeling he's going to disappear...
QUEST_LV_0200_20150317_000024	The sacred force created by the Goddess hasn't vanished yet. {nl}Will it be able to suppress the devastation? {nl}
QUEST_LV_0200_20150317_000025	The Captain gave me power.{nl}I won't be scared.
QUEST_LV_0200_20150317_000026	Not gonna be afraid anymore.[nl}I will never be eaten by monsters.
QUEST_LV_0200_20150317_000027	Painful Owl Statue
QUEST_LV_0200_20150317_000028	I'm suffering every day.{nl}Perhaps, I will also be eaten by monsters.
QUEST_LV_0200_20150317_000029	This forest is increasingly covered with evil spirits.{nl}Where is the Goddess?
QUEST_LV_0200_20150317_000030	I was chosen to be the captain... {nl} I'll do my best to defeat the monsters.
QUEST_LV_0200_20150317_000031	The Captain was struggling like this..{nl}Never would I be eaten until the Goddess comes back.
QUEST_LV_0200_20150317_000032	Subordinate Owl 3
QUEST_LV_0200_20150317_000033	We are always here at this place, but where is our Goddess who is always worried about us?
QUEST_LV_0200_20150317_000034	Do we exist only for the Human's soul?
QUEST_LV_0200_20150317_000035	Soldier Dominic
QUEST_LV_0200_20150317_000036	We've been ordered to protect this place with our lives and to do some reconnaissance at the same time.{nl}I don't know exactly what they expect us to do.
QUEST_LV_0200_20150317_000037	I will tell you next time to make sure which belonging you want, no matter what you select.{nl}Not. Julian's side is even better?
QUEST_LV_0200_20150317_000038	If it's just a monster of that level, I guess I can report that there is no serious problem.{nl}Oh, if you happen to run into Sampson, please tell him to stop fooling around and scout some information.
QUEST_LV_0200_20150317_000039	I will protect this area so go patrol up to the Veltui Crossroad. As for reports, I will do them separately at a later time.
QUEST_LV_0200_20150317_000040	Soldier Sampson
QUEST_LV_0200_20150317_000041	Please find Dominic's engagement ring. {nl} I'm currently undertaking a mission so I won't be able to leave this spot.
QUEST_LV_0200_20150317_000042	I'm telling you he's acting like that even though I bought him a roughly similar one. So petty.
