SKILL_20150317_000001	攻击
SKILL_20150317_000002	[Elite Kepa] 一次性, 物理, 毒属性, 击中效果
SKILL_20150317_000003	[Rafflesia] 毒物扩散
SKILL_20150317_000004	[Rafflesia] 毒制炸弹
SKILL_20150317_000005	[Raffly] 物理, 打击, 毒属性, 攻击次数一次
SKILL_20150317_000006	[Raffly] 物理, 打击, 毒属性, 跳跃攻击一次
SKILL_20150317_000007	[Puragi] 物理, 击中效果, 毒属性, 普通攻击一次
SKILL_20150317_000008	[Puragi] 物理, 打击, 毒属性, 攻击次数一次
SKILL_20150317_000009	[Puragi] 物理, 打击, 毒属性, 触发一次效果
SKILL_20150317_000010	[Zigri] 普通攻击, 扇型范围攻击
SKILL_20150317_000011	[Zigri] 环绕攻击
SKILL_20150317_000012	[Zigri] 跳跃以及冲击效果
SKILL_20150317_000013	[Fisherman] 物理, 打击, 冰属性, 使用鱼竿打击
SKILL_20150317_000014	[Fisherman] 魔法, 增溢效果,法术,
SKILL_20150317_000015	[Pokuborn] 物理, 刺击, 雷属性, 使用号角打击
SKILL_20150317_000016	[Bushspider] 物理, 打击, 地属性, 攻击次数一次
SKILL_20150317_000017	[Fragaras] 快速咬击
SKILL_20150317_000018	[Fragaras] 广域咬击
SKILL_20150317_000019	[Fragaras] 普通攻击, 扇型区域攻击
SKILL_20150317_000020	基本攻击
SKILL_20150317_000021	[Meduja] 魔法, 法术, 雷属性攻击一次
SKILL_20150317_000022	[Gribaru] 物理, 斩击, 雷属性攻击一次
SKILL_20150317_000023	[Gribaru] 物理, 斩击, 雷属性背击一次
SKILL_20150317_000024	[Bite] 物理, 刺击, 毒属性攻击一次
SKILL_20150317_000025	[Banshee] 魔法, 法术, 冰属性, 气息打击一次
SKILL_20150317_000026	[Banshee] 魔法, 法术, 冰属性, 冰茅
SKILL_20150317_000027	[Mini Griba] 物理, 打击, 雷属性, 双手打击一次
SKILL_20150317_000028	[Big Griba] 物理, 打击, 雷属性, 捣毁次数一次
SKILL_20150317_000029	[Big Griba] 物理, 打击, 雷属性,毒物扩散一次
SKILL_20150317_000030	[Big Griba] 物理, 打击, 雷属性,捣毁地面一次
SKILL_20150317_000031	[Haming] 物理, 打击, 雷属性, 头击
SKILL_20150317_000032	[Haming] 物理, 打击, 雷属性, 反击技能
SKILL_20150317_000033	[Haming] 物理, 打击, 雷属性, 跳跃旋转攻击
SKILL_20150317_000034	[Truffle] 物理, 命中, 雷属性, 舍身攻击
SKILL_20150317_000035	[Truffle] 物理, 命中, 雷属性, 捣毁
SKILL_20150317_000036	[Truffle] 物理, 命中, 雷属性, 舍身攻击
SKILL_20150317_000037	[Slime_Dark] 物理, 打击, 闇属性, 头击
SKILL_20150317_000038	[Slime_Dark] 物理, 打击, 闇属性, 攻击一次
SKILL_20150317_000039	[Kepa] 物理, 打击, 毒属性, 扇型区域攻击
SKILL_20150317_000040	[Addicted Kepa] 普通攻击, 扇型区域攻击
SKILL_20150317_000041	[Old Kepa] 物理, 打击, 地属性, 烟雾迷漫
SKILL_20150317_000042	[Thornball] 物理, 刺击, 毒属性, 扇型区域攻击
SKILL_20150317_000043	[Matsum] 物理, 打击, 火属性, 扇型区域攻击
SKILL_20150317_000044	[Sakmoli] 魔法, 打击, 冰属性.普通攻击一次
SKILL_20150317_000045	[Sakmoli] 魔法, 打击, 冰属性, 普通攻击一次
SKILL_20150317_000046	[Jukopus] 物理, 打击, 地属性, 舍身攻击
SKILL_20150317_000047	[Jukopus] 物理, 打击, 地属性, 跳跃舍身
SKILL_20150317_000048	[Red Bushspider] 跳跃捣毁
SKILL_20150317_000049	[Red Bushspider] 普通攻击, 扇形区域攻击
SKILL_20150317_000050	[Baby Dionia] 普通攻击, 扇形区域攻击
SKILL_20150317_000051	[Mini Griba] 物理, 打击, 毒属性, 一次性锤击
SKILL_20150317_000052	[Mini Griba] 物理, 打击, 毒属性, 一至两次锤击
SKILL_20150317_000053	[Mini Griba] 物理, 打击, 毒属性, 双手打击
SKILL_20150317_000054	[Griba] 物理, 打击, 冰属性攻击一次
SKILL_20150317_000055	[Griba] 魔法, 法术, 冰属性攻击一次
SKILL_20150317_000056	[Old Kepa] 普通攻击, 扇型区域攻击
SKILL_20150317_000057	[Tree Ghost] 单手劈击
SKILL_20150317_000058	[Tree Ghost] 双手劈击
SKILL_20150317_000059	[Tree Ghost] 地域震裂
SKILL_20150317_000060	[Cockatrice] 魔法, 法术, 火属性, 燃烧三次
SKILL_20150317_000061	[Zinute] 物理 刺击 火属性攻击一次
SKILL_20150317_000062	[Zinute] 物理 斩击 火属性攻击一次
SKILL_20150317_000063	[Tontulia] 物理 打击 雷属性攻击一次
SKILL_20150317_000064	[Tontulia] 物理 命中 雷属性攻击两次
SKILL_20150317_000065	[Tontus] 物理 命中, 毒属性攻击两次
SKILL_20150317_000066	[Tontus] 物理 刺击, 毒属性攻击一次
SKILL_20150317_000067	[Tontus] 物理 命中, 毒属性攻击一次
SKILL_20150317_000068	[Vekarabe] 物理, 刺击, 毒属性, 向前刺击
SKILL_20150317_000069	[Vekarabe] 物理, 刺击, 毒属性, 向上刺击
SKILL_20150317_000070	[Geppetto] 物理 打击, 地属性攻击两次
SKILL_20150317_000071	[Geppetto] 物理 打击, 地属性攻击一次
SKILL_20150317_000072	[Geppetto] 物理 命中, 地属性攻击一次
SKILL_20150317_000073	[Boowook] 物理, 打击, 地属性攻击一次
SKILL_20150317_000074	[Boowook] 物理, 打击, 地属性 双脚震裂一次
SKILL_20150317_000075	[Desmodus] 物理, 刺击, 闇属性 尾部打击
SKILL_20150317_000076	[Desmodus] 物理, 刺击, 闇属性 身体打击
SKILL_20150317_000077	[Pino] 物理 打击, 地属性攻击一次
SKILL_20150317_000078	[Cauliflower] 物理, 刺击, 毒属性, 触手捣毁
SKILL_20150317_000079	[Cauliflower] 物理, 刺击, 毒属性, 触手捣毁
SKILL_20150317_000080	[Cauliflower] 物理, 刺击, 毒属性, 触手捣毁
SKILL_20150317_000081	[Helmet Bug] 物理, 刺击, 地属性攻击一次
SKILL_20150317_000082	[Helmet Bug] 普通攻击二
SKILL_20150317_000083	[Bikaaras Mage] 魔法, 法术, 火属性攻击一次
SKILL_20150317_000084	[Bikaaras Mage] 物理, 斩击, 火属性攻击一次
SKILL_20150317_000085	[Vikaras] 物理, 斩击, 火属性攻击一次
SKILL_20150317_000086	[Vikaras] 物理, 斩击, 火属性地域捣毁
SKILL_20150317_000087	[Mutant Chinency] 普通攻击,向前发射
SKILL_20150317_000088	[Zinute] 单手打击
SKILL_20150317_000089	[Zinute] 双手打击
SKILL_20150317_000090	[Zinute] 地域捣毁
SKILL_20150317_000091	[Lauzinute] 物理, 穿刺, 火属性攻击一次
SKILL_20150317_000092	[Lauzinute] 物理, 穿刺, 火属性回旋攻击
SKILL_20150317_000093	[D以及el] 物理 穿刺 雷属性攻击一次
SKILL_20150317_000094	[Rusrat] 物理, 斩击, 雷属性攻击两次
SKILL_20150317_000095	[Rusrat] 物理, 斩击, 雷属性攻击一次
SKILL_20150317_000096	[Medakia] 物理, 斩击, 闇属性攻击一次
SKILL_20150317_000097	[Medakia] 魔法, 法术, 闇属性攻击一次
SKILL_20150317_000098	[Medakia] 地域捣毁
SKILL_20150317_000099	[Wheelen] 双手打击
SKILL_20150317_000100	[Mauros] 物理, 打击, 闇属性攻击一次
